# report v0.1.0 (Mar 6, 2023)
# Database: MetaSBT-Viruses
# Timestamp: 2023-03-30 17:10:30.520239
# Cluster	Lineage	MAGs	Reference genomes	Bloom Filter Density	Mean completeness	Mean contamination	Mean strain heterogeneity
MSBT3051	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Crevaviridae|g__Junduvirus|s__Junduvirus_communis	0	1	0.072359	0.0	0.0	0.0
MSBT2998	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Mincapvirus|s__Haloarcula_virus_HCTV_6	0	1	0.055881	0.0	0.0	0.0
MSBT3003	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Mincapvirus|s__Halorubrum_virus_HRTV_11	0	1	0.055302	0.0	0.0	0.0
MSBT2988	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Mincapvirus|s__Halorubrum_tailed_phage_7	0	1	0.052862	0.0	0.0	0.0
MSBT2996	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Mincapvirus|s__Haloarcula_virus_HCTV_15	0	1	0.055873	0.0	0.0	0.0
MSBT3008	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Mincapvirus|s__Halorubrum_virus_HRTV_2	0	1	0.053123	0.0	0.0	0.0
MSBT3010	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_21	0	1	0.061193	0.0	0.0	0.0
MSBT3007	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_19	0	1	0.061753	0.0	0.0	0.0
MSBT3001	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Haloarcula_virus_HJTV_3	0	1	0.061489	0.0	0.0	0.0
MSBT2958	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_VOLN27B	0	1	0.061493	0.0	0.0	0.0
MSBT2999	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Haloarcula_virus_HCTV_8	0	1	0.059757	0.0	0.0	0.0
MSBT1784	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Haloferacalesvirus_hv5	0	4	0.072199	0.0	0.0	0.0
MSBT3005	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_16	0	1	0.061682	0.0	0.0	0.0
MSBT3011	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_22	0	1	0.06145	0.0	0.0	0.0
MSBT2995	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Haloarcula_virus_HCTV_10	0	1	0.059757	0.0	0.0	0.0
MSBT2932	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_Hardycor2	0	1	0.061918	0.0	0.0	0.0
MSBT3006	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_18	0	1	0.061203	0.0	0.0	0.0
MSBT1785	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Haloferacalesvirus_hv8	0	2	0.06688	0.0	0.0	0.0
MSBT3015	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_9	0	1	0.059614	0.0	0.0	0.0
MSBT3012	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_23	0	1	0.061771	0.0	0.0	0.0
MSBT942	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Haloferacalesvirus_HF1	0	1	0.060832	0.0	0.0	0.0
MSBT3014	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_26	0	1	0.06175	0.0	0.0	0.0
MSBT3004	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_15	0	1	0.060328	0.0	0.0	0.0
MSBT3013	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_24	0	1	0.061435	0.0	0.0	0.0
MSBT3000	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Haloarcula_virus_HJTV_1	0	1	0.062532	0.0	0.0	0.0
MSBT3009	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_20	0	1	0.06121	0.0	0.0	0.0
MSBT3016	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HSTV_3	0	1	0.060657	0.0	0.0	0.0
MSBT3002	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Druskaviridae|g__Tredecimvirus|s__Haloarcula_virus_HVTV_2	0	1	0.078264	0.0	0.0	0.0
MSBT1783	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Druskaviridae|g__Tredecimvirus|s__Halovirus_HCTV_5	0	1	0.078904	0.0	0.0	0.0
MSBT2997	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Druskaviridae|g__Hacavirus|s__Haloarcula_virus_HCTV_16	0	1	0.080558	0.0	0.0	0.0
MSBT2320	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Indivirus|s__Indivirus_ILV1	0	1	0.218543	0.0	0.0	0.0
MSBT2321	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Hokovirus|s__Hokovirus_HKV1	0	1	0.204011	0.0	0.0	0.0
MSBT2560	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Tupanvirus|s__Tupanvirus_soda_lake	0	1	0.286026	0.0	0.0	0.0
MSBT2533	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Bandra_megavirus	0	1	0.233114	0.0	0.0	0.0
MSBT2554	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Megavirus_vitis	0	1	0.23235	0.0	0.0	0.0
MSBT2195	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Acanthamoeba_castellanii_mimivirus	0	2	0.244288	0.0	0.0	0.0
MSBT1658	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Mimivirus_terra2	0	1	0.24357	0.0	0.0	0.0
MSBT1657	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Megavirus_courdo7	0	1	0.217993	0.0	0.0	0.0
MSBT1376	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Acanthamoeba_castellanii_mamavirus	0	1	0.244949	0.0	0.0	0.0
MSBT1886	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Hirudovirus_strain_Sangsue	0	1	0.244481	0.0	0.0	0.0
MSBT915	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Acanthamoeba_polyphaga_mimivirus	0	9	0.273702	0.0	0.0	0.0
MSBT1641	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Megavirus_chiliensis	0	5	0.270265	0.0	0.0	0.0
MSBT2449	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Klosneuvirus|s__Bodo_saltans_virus	0	1	0.220997	0.0	0.0	0.0
MSBT2322	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Klosneuvirus|s__Klosneuvirus_KNV1	0	1	0.286387	0.0	0.0	0.0
MSBT2319	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Catovirus|s__Catovirus_CTV1	0	1	0.258173	0.0	0.0	0.0
MSBT368	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Lymphocystivirus|s__Lymphocystis_disease_virus_1	0	4	0.100691	0.0	0.0	0.0
MSBT789	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Lymphocystivirus|s__Lymphocystis_disease_virus_2	0	2	0.09584	0.0	0.0	0.0
MSBT2898	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Lymphocystivirus|s__Lymphocystis_disease_virus_4	0	1	0.106678	0.0	0.0	0.0
MSBT2193	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Lymphocystivirus|s__Lymphocystis_disease_virus_Sa	0	1	0.118934	0.0	0.0	0.0
MSBT39	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Ranavirus|s__Frog_virus_3	0	49	0.146505	0.0	0.0	0.0
MSBT2755	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Ranavirus|s__Mandarin_fish_ranavirus	0	1	0.079975	0.0	0.0	0.0
MSBT1862	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Ranavirus|s__Rana_catesbeiana_virus	0	2	0.083369	0.0	0.0	0.0
MSBT1420	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Ranavirus|s__Short_finned_eel_ranavirus	0	1	0.09165	0.0	0.0	0.0
MSBT2457	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Ranavirus|s__Rana_catesbeiana_virus_2	0	1	0.082094	0.0	0.0	0.0
MSBT2561	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Megalocytivirus|s__South_American_cichlid_iridovirus	0	1	0.090699	0.0	0.0	0.0
MSBT2074	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Megalocytivirus|s__Scale_drop_disease_virus	0	3	0.103366	0.0	0.0	0.0
